demand|спрос
house|дом
people|люди
friend|друг
world|мир
money|деньги
water|вода
plant|цветок
child|ребенок
school|школа
field|поле
woman|женщина
table|стол
night|ночь
party|праздник
voice|голос
heart|сердце
light|свет
music|музыка
river|река
stone|камень
glass|стекло
floor|пол
place|место
head|голова
step|шаг
road|дорога
fish|рыба
face|лицо
idea|идея
name|имя
book|книга
door|дверь
star|звезда
city|город
land|земля
game|игра
team|команда
code|код
goal|цель
king|король
law|закон
mind|разум
note|заметка
page|страница
plan|план
role|роль
shop|магазин
skin|кожа
snow|снег
time|время
wind|ветер
year|год
fire|огонь
hand|рука
foot|нога
car|машина
ball|мяч
cup|чашка
pen|ручка
bed|кровать
box|коробка
key|ключ
bag|сумка
gun|ружьё
hat|шляпа
leg|нога
arm|рука
eye|глаз
lip|губа
ear|ухо
cat|кот
dog|собака
rat|крыса
bee|пчела
ant|муравей
cow|корова
pig|свинья
bat|летучая
owl|сова
fox|лиса
bear|медведь
lion|лев
wolf|волк
frog|лягушка
deer|олень
goat|козёл
hen|курица
seal|тюлень
worm|червь
bull|бык
calf|теленок
crow|ворона
duck|утка
elk|лось
fly|муха
hawk|ястреб
jay|сойка
mole|крот
roe|косуля
sow|свинья
swan|лебедь
toad|жаба
wasp|оса
bird|птица
eel|угорь
emu|эму
gnu|гну
hog|кабан
kit|комплект
lab|лаборатория
man|мужчина
net|сеть
sea|море
sun|солнце
tap|кран
van|фургон
war|война
wax|воск
way|путь
web|паутина
win|выигрыш
wit|ум
yak|як
egg|яйцо
fan|вентилятор
ink|чернила
jar|банка
map|карта
oak|дуб
rod|удочка
toy|игрушка
urn|ваза
wet|мокрый
zip|застёжка
axe|топор
cap|шапка
fog|туман
fun|веселье
ice|лед
